,cpi,unemp,tb3
1948-04-01,0.02935,0.03667,0.00251
1948-07-01,0.00823,0.03767,0.00251
1948-10-01,-0.01237,0.03833,0.00281
1949-01-01,-0.00833,0.04667,0.00293
1949-04-01,0.00000,0.05867,0.00293
1949-07-01,-0.00419,0.06700,0.00256
1949-10-01,-0.00844,0.06967,0.00263
1950-01-01,0.00000,0.06400,0.00268
1950-04-01,0.01263,0.05567,0.00288
1950-07-01,0.01660,0.04633,0.00291
1950-10-01,0.02840,0.04233,0.00329
1951-01-01,0.03537,0.03500,0.00336
1951-04-01,0.00000,0.03100,0.00369
1951-07-01,0.00385,0.03167,0.00392
1951-10-01,0.01905,0.03367,0.00386
1952-01-01,-0.00378,0.03067,0.00394
1952-04-01,0.00378,0.02967,0.00394
1952-07-01,0.00377,0.03233,0.00455
1952-10-01,0.00375,0.02833,0.00437
1953-01-01,-0.00375,0.02700,0.00492
1953-04-01,0.00749,0.02567,0.00551
1953-07-01,0.00372,0.02733,0.00513
1953-10-01,0.00000,0.03700,0.00346
1954-01-01,0.00000,0.05267,0.00296
1954-04-01,0.00000,0.05800,0.00243
1954-07-01,-0.00372,0.05967,0.00180
1954-10-01,0.00000,0.05333,0.00246
1955-01-01,0.00000,0.04733,0.00306
1955-04-01,-0.00374,0.04400,0.00399
1955-07-01,0.00746,0.04100,0.00402
1955-10-01,0.00000,0.04233,0.00561
1956-01-01,0.00000,0.04033,0.00606
1956-04-01,0.01109,0.04200,0.00654
1956-07-01,0.00733,0.04133,0.00581
1956-10-01,0.00727,0.04133,0.00730
1957-01-01,0.01081,0.03933,0.00784
1957-04-01,0.00714,0.04100,0.00773
1957-07-01,0.00709,0.04233,0.00796
1957-10-01,0.00704,0.04933,0.00903
1958-01-01,0.01394,0.06300,0.00614
1958-04-01,0.00000,0.07367,0.00283
1958-07-01,0.00000,0.07333,0.00228
1958-10-01,0.00345,0.06367,0.00662
1959-01-01,0.00000,0.05833,0.00710
1959-04-01,0.00344,0.05100,0.00743
1959-07-01,0.00685,0.05267,0.00806
1959-10-01,0.00341,0.05600,0.01023
1960-01-01,0.00000,0.05133,0.01099
1960-04-01,0.00678,0.05233,0.00814
1960-07-01,0.00000,0.05533,0.00578
1960-10-01,0.00673,0.06267,0.00578
1961-01-01,0.00000,0.06800,0.00563
1961-04-01,0.00000,0.07000,0.00576
1961-07-01,0.00669,0.06767,0.00563
1961-10-01,0.00000,0.06200,0.00578
1962-01-01,0.00665,0.05633,0.00685
1962-04-01,0.00000,0.05533,0.00687
1962-07-01,0.00660,0.05567,0.00735
1962-10-01,0.00000,0.05533,0.00690
